t_s,theta_teo_rad,omega_teo_rad_s,alpha_teo_rad_s2,theta_sim_rad,omega_sim_rad_s,alpha_sim_rad_s2
11.6000,-0.064297,-1.264291,1.295082,-0.082616,-1.006707,1.684453
11.6400,-0.113565,-1.192448,2.287423,-0.121318,-0.923250,2.453081
11.6800,-0.159182,-1.082278,3.206245,-0.156084,-0.810461,3.139437
11.7200,-0.199683,-0.937324,4.022016,-0.185813,-0.672095,3.722221
11.7600,-0.233765,-0.762243,4.708516,-0.209571,-0.512683,4.184189
11.8000,-0.260335,-0.562662,5.243680,-0.226616,-0.337360,4.512346
11.8400,-0.278537,-0.344998,5.610308,-0.236422,-0.151695,4.697913
11.8800,-0.287787,-0.116245,5.796615,-0.238691,0.038473,4.736176
11.9200,-0.287787,0.116245,5.796615,-0.233363,0.227199,4.626354
11.9600,-0.278537,0.344998,5.610308,-0.220613,0.408581,4.371547
12.0000,-0.260335,0.562662,5.243680,-0.200851,0.576922,3.978801
12.0400,-0.233765,0.762243,4.708516,-0.174705,0.726885,3.459227
12.0800,-0.199683,0.937324,4.022016,-0.143009,0.853661,2.828087
12.1200,-0.159182,1.082278,3.206245,-0.106776,0.953132,2.104713
12.1600,-0.113565,1.192448,2.287423,-0.067167,1.022038,1.312150
12.2000,-0.064297,1.264291,1.295082,-0.025452,1.058104,0.476459
12.2400,-0.012964,1.295499,0.261115,0.017028,1.060154,-0.374316
12.2800,0.038787,1.285068,-0.781244,0.058906,1.028159,-1.211426
12.3200,0.089290,1.233334,-1.798493,0.098841,0.963240,-2.006786
12.3600,0.136924,1.141960,-2.757937,0.135556,0.867616,-2.734268
12.4000,0.180157,1.013883,-3.628739,0.167883,0.744499,-3.370754
12.4400,0.217600,0.853218,-4.382910,0.194803,0.597956,-3.896864
12.4800,0.248049,0.665130,-4.996211,0.215471,0.432750,-4.297336
12.5200,0.270525,0.455664,-5.448929,0.229244,0.254169,-4.561113
12.5600,0.284306,0.231553,-5.726515,0.235701,0.067861,-4.681260
12.6000,0.288950,-0.000000,-5.820045,0.234648,-0.120332,-4.654811
12.6400,0.284306,-0.231553,-5.726515,0.226128,-0.304524,-4.482678
12.6800,0.270525,-0.455664,-5.448929,0.210417,-0.478946,-4.169647
12.7200,0.248049,-0.665130,-4.996211,0.188016,-0.638096,-3.724471
12.7600,0.217600,-0.853218,-4.382910,0.159640,-0.776904,-3.159977
12.8000,0.180157,-1.013883,-3.628739,0.126195,-0.890894,-2.493084
12.8400,0.136924,-1.141960,-2.757937,0.088750,-0.976350,-1.744604
12.8800,0.089290,-1.233334,-1.798493,0.048505,-1.030462,-0.938743
12.9200,0.038787,-1.285068,-0.781244,0.006755,-1.051450,-0.102259
12.9600,-0.012964,-1.295499,0.261115,-0.035160,-1.038643,0.736670
13.0000,-0.064297,-1.264291,1.295082,-0.075892,-0.992516,1.549767
13.0400,-0.113565,-1.192448,2.287423,-0.114137,-0.914662,2.309980
13.0800,-0.159182,-1.082278,3.206245,-0.148677,-0.807718,2.992669
13.1200,-0.199683,-0.937324,4.022016,-0.178414,-0.675248,3.576510
13.1600,-0.233765,-0.762243,4.708516,-0.202414,-0.521597,4.044067
13.2000,-0.260335,-0.562662,5.243680,-0.219925,-0.351723,4.382032
13.2400,-0.278537,-0.344998,5.610308,-0.230407,-0.171034,4.581237
13.2800,-0.287787,-0.116245,5.796615,-0.233540,0.014776,4.636538
13.3200,-0.287787,0.116245,5.796615,-0.229234,0.199889,4.546683
13.3600,-0.278537,0.344998,5.610308,-0.217635,0.378511,4.314265
13.4000,-0.260335,0.562662,5.243680,-0.199115,0.545030,3.945757
13.4400,-0.233765,0.762243,4.708516,-0.174265,0.694171,3.451617
13.4800,-0.199683,0.937324,4.022016,-0.143877,0.821159,2.846357
13.5200,-0.159182,1.082278,3.206245,-0.108923,0.921880,2.148472
13.5600,-0.113565,1.192448,2.287423,-0.070521,0.993037,1.380115
13.6000,-0.064297,1.264291,1.295082,-0.029906,1.032289,0.566449
13.6400,-0.012964,1.295499,0.261115,0.011619,1.038353,-0.265316
13.6800,0.038787,1.285068,-0.781244,0.052717,1.011064,-1.087136
13.7200,0.089290,1.233334,-1.798493,0.092072,0.951382,-1.871447
13.7600,0.136924,1.141960,-2.757937,0.128423,0.861348,-2.592431
13.8000,0.180157,1.013883,-3.628739,0.160615,0.743988,-3.227068
13.8400,0.217600,0.853218,-4.382910,0.187629,0.603182,-3.755890
13.8800,0.248049,0.665130,-4.996211,0.208618,0.443516,-4.163401
13.9200,0.270525,0.455664,-5.448929,0.222927,0.270110,-4.438212
13.9600,0.284306,0.231553,-5.726515,0.230116,0.088459,-4.572992
14.0000,0.288950,-0.000000,-5.820045,0.229970,-0.095729,-4.564344
14.0400,0.284306,-0.231553,-5.726515,0.222501,-0.276688,-4.412706
14.0800,0.270525,-0.455664,-5.448929,0.207954,-0.448745,-4.122344
14.1200,0.248049,-0.665130,-4.996211,0.186793,-0.606476,-3.701419
14.1600,0.217600,-0.853218,-4.382910,0.159694,-0.744859,-3.162079
14.2000,0.180157,-1.013883,-3.628739,0.127522,-0.859442,-2.520471
